"depth_top_mm" "BestAD_CRS" "MinAD_CRS" "MaxAD_CRS" "SAR_CRS_mm.yr" "SAR_CRS_err_mm.yr"
0 2022 2022 2022 0 0
5 2020.83038992488 2020.55828839268 2021.10249145708 0.679013018369811 0.174974911494657
10 2019.66077984976 2019.11657678536 2020.20498291416 1.35802603673962 0.349949822989314
15 2018.49116977464 2017.67486517803 2019.30747437124 2.03703905510943 0.52492473448397
20 2017.32155969952 2016.23315357071 2018.40996582832 2.71605207347924 0.699899645978627
25 2015.23106125345 2013.885828688 2016.57629381889 2.60684385406593 0.676525475609279
30 2013.14056280738 2011.5385038053 2014.74262180946 2.49763563465262 0.65315130523993
35 2011.05006436131 2009.19117892259 2012.90894980003 2.3884274152393 0.629777134870581
40 2008.95956591524 2006.84385403989 2011.07527779059 2.27921919582599 0.606402964501233
45 2006.39798509543 2004.05693944918 2008.73903074169 2.28418474450156 0.620588967964512
50 2003.83640427563 2001.27002485847 2006.40278369279 2.28915029317714 0.634774971427791
55 2001.27482345582 1998.48311026776 2004.06653664388 2.29411584185271 0.648960974891071
60 1998.71324263602 1995.69619567705 2001.73028959498 2.29908139052828 0.66314697835435
65 1996.17767960291 1992.95921812152 1999.3961410843 2.18738189549327 0.642293755117549
70 1993.6421165698 1990.22224056598 1997.06199257363 2.07568240045826 0.621440531880747
75 1991.1065535367 1987.48526301045 1994.72784406295 1.96398290542324 0.600587308643946
80 1988.57099050359 1984.74828545491 1992.39369555227 1.85228341038823 0.579734085407145
85 1987.58602919992 1983.66440813425 1991.50765026559 0.926141705194114 0.289867042703572
90 1986.60106789626 1982.5805308136 1990.62160497891 0 0
95 1986.60106789626 1982.5805308136 1990.62160497891 0.821681530233854 0.309750663385844
100 1986.60106789626 1982.5805308136 1990.62160497891 1.64336306046771 0.619501326771687
105 1985.61610659259 1981.49665349294 1989.73555969223 1.85755052675202 0.716583033039823
110 1984.63114528892 1980.41277617228 1988.84951440555 2.07173799303632 0.813664739307958
115 1983.64618398525 1979.32889885162 1987.96346911887 2.28592545932063 0.910746445576094
120 1982.66122268158 1978.24502153097 1987.07742383219 2.50011292560494 1.00782815184423
125 1980.97490721561 1976.37951732496 1985.57029710625 2.59064367271594 1.10747149720617
130 1979.28859174963 1974.51401311896 1984.06317038031 2.68117441982693 1.20711484256812
135 1977.60227628366 1972.64850891295 1982.55604365437 2.77170516693793 1.30675818793006
140 1975.91596081769 1970.78300470695 1981.04891692843 2.86223591404892 1.406401533292
145 1973.61657583893 1968.22503436773 1979.00811731013 3.01077049043034 1.50673567208357
150 1971.31719086017 1965.66706402852 1976.96731769183 3.15930506681177 1.60706981087513
155 1969.01780588141 1963.1090936893 1974.92651807353 3.30783964319319 1.7074039496667
160 1966.71842090266 1960.55112335009 1972.88571845522 3.45637421957462 1.80773808845827
165 1964.74893601249 1958.33128630841 1971.16658571657 3.377744436412 1.83397626811745
170 1962.77945112232 1956.11144926672 1969.44745297792 3.29911465324938 1.86021444777664
175 1960.80996623216 1953.89161222504 1967.72832023927 3.22048487008675 1.88645262743582
180 1958.84048134199 1951.67177518336 1966.00918750062 3.14185508692413 1.91269080709501
185 1957.24572789413 1949.79957586578 1964.69187992248 3.7497825849305 2.87839037205357
190 1955.65097444628 1947.9273765482 1963.37457234435 4.35771008293686 3.84408993701213
195 1954.05622099842 1946.05517723063 1962.05726476621 4.96563758094323 4.80978950197069
200 1952.46146755056 1944.18297791305 1960.73995718807 5.57356507894959 5.77548906692925
205 1950.68817537353 1942.07791834533 1959.29843240173 5.20032301615678 5.46052982052078
210 1948.9148831965 1939.97285877762 1957.85690761539 4.82708095336397 5.14557057411231
215 1947.14159101948 1937.8677992099 1956.41538282905 4.45383889057116 4.83061132770384
220 1945.36829884245 1935.76273964219 1954.97385804271 4.08059682777835 4.51565208129537
225 1941.56356656908 1931.36516410068 1951.76196903747 0 0
230 1941.56356656908 1931.36516410068 1951.76196903747 0.0923469745056878 0.11720616446805
235 1941.56356656908 1931.36516410068 1951.76196903747 0.184693949011376 0.234412328936099
240 1941.56356656908 1931.36516410068 1951.76196903747 0.277040923517063 0.351618493404149
245 1941.56356656908 1931.36516410068 1951.76196903747 0.369387898022751 0.468824657872199
250 1941.56356656908 1931.36516410068 1951.76196903747 0.461734872528439 0.586030822340248
255 1941.56356656908 1931.36516410068 1951.76196903747 0.554081847034127 0.703236986808298
260 1941.56356656908 1931.36516410068 1951.76196903747 0.646428821539815 0.820443151276348
265 1941.56356656908 1931.36516410068 1951.76196903747 0.738775796045502 0.937649315744397
270 1941.56356656908 1931.36516410068 1951.76196903747 0.83112277055119 1.05485548021245
275 1941.56356656908 1931.36516410068 1951.76196903747 0.923469745056878 1.1720616446805
280 1941.56356656908 1931.36516410068 1951.76196903747 1.01581671956257 1.28926780914855
285 1941.56356656908 1931.36516410068 1951.76196903747 1.10816369406825 1.4064739736166
290 1941.56356656908 1931.36516410068 1951.76196903747 1.20051066857394 1.52368013808465
295 1941.56356656908 1931.36516410068 1951.76196903747 1.29285764307963 1.6408863025527
300 1941.56356656908 1931.36516410068 1951.76196903747 1.38520461758532 1.75809246702075
305 1941.56356656908 1931.36516410068 1951.76196903747 1.477551592091 1.87529863148879
310 1941.56356656908 1931.36516410068 1951.76196903747 1.56989856659669 1.99250479595684
315 1941.56356656908 1931.36516410068 1951.76196903747 1.66224554110238 2.10971096042489
320 1941.56356656908 1931.36516410068 1951.76196903747 1.75459251560807 2.22691712489294
325 1941.56356656908 1931.36516410068 1951.76196903747 1.84693949011376 2.34412328936099
330 1941.56356656908 1931.36516410068 1951.76196903747 1.93928646461944 2.46132945382904
335 1941.56356656908 1931.36516410068 1951.76196903747 2.03163343912513 2.57853561829709
340 1941.56356656908 1931.36516410068 1951.76196903747 2.12398041363082 2.69574178276514
345 1941.56356656908 1931.36516410068 1951.76196903747 2.21632738813651 2.81294794723319
350 1941.4802829323 1931.25954054324 1951.70102532136 2.65991046395412 2.82115407633419
355 1941.39699929553 1931.15391698581 1951.64008160525 3.10349353977174 2.8293602054352
360 1941.31371565875 1931.04829342837 1951.57913788914 3.54707661558935 2.8375663345362
