"depth_avg_mm" "BestAD" "MinAD" "MaxAD" "SAR_mm.yr" "SAR_err_mm.yr"
400 1909.7932986208 1894.36133032335 1925.22526691824 2.40627290030962 0.330938586164212
405 1907.71539651619 1891.9976509968 1923.43314203558 2.40627290030962 0.330938586164212
410 1905.63749441159 1889.63397167025 1921.64101715292 2.40627290030962 0.330938586164212
415 1903.55959230698 1887.2702923437 1919.84889227025 2.40627290030962 0.330938586164212
420 1901.48169020237 1884.90661301716 1918.05676738759 2.40627290030962 0.330938586164212
425 1899.40378809777 1882.54293369061 1916.26464250493 2.40627290030962 0.330938586164212
430 1897.32588599316 1880.17925436406 1914.47251762226 2.40627290030962 0.330938586164212
435 1895.24798388856 1877.81557503751 1912.6803927396 2.40627290030962 0.330938586164212
440 1893.17008178395 1875.45189571096 1910.88826785694 2.40627290030962 0.330938586164212
445 1891.09217967934 1873.08821638441 1909.09614297427 2.40627290030962 0.330938586164212
450 1889.01427757474 1870.72453705787 1907.30401809161 2.40627290030962 0.330938586164212
