core_id,depth_from,depth_to,volume,Ablabesmyia,Brillia,Chironomus anthracinus-type,Cladopelma lateralis-type,Cladotanytarsus mancus-type,Corynoneura edwardsi-type,Cricotopus bicintus-type,Cricotopus cylindraceus-type,Cricotopus sylvestris-type,Cryptochironomus,Dicrotendipes nervosus-type,Endochironomus albipennis-type,Eukiefferiella claripennis-type,Glyptotendipes barbipes-type,Glyptotendipes pallens-type,Heterotrissocladius grimshawi-type,Heterotanytarsus,Lasiodiamesa,Limnophyes,Micropsectra insignilobus-type,Microtendipes pedellus-type,Mnodiamesa,Neozavrelia,Pagastiella,Parachironomus varus-type,Paracladius,Paracricotopus,Parakiefferiella bathophila-type,Parametriocnemus,Paratanytarsus austriacus-type,Paratendipes nudisquama-type,Polypedilum nubeculosum-type,Procladius,Protanypus,Psectrocladius calcaratus-type,Psectrocladius septentrionalis-type,Psectrocladius sordidellus-type,Pseudorthocladius,Pseudosmittia,Smittia foliacea-type,Tanytarsus chinyensis-type,Tanytarsus lactescens-type,Tanytarsus mendax-type,Tanytarsus pallidicornis-type,Cladotanytarsus group A,Tanypus,Thienemannimyia-type,Tribelos,Xenoxchironomus,Zalutschia type B,Zavrelia,Zavreliella
TL09_C_30,23.5,24,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0
TL09_C_30,28,28.5,2.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,13,1,2,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,2,0,4,4,0,0,0,0,8,0,0,0,0,0,0,0
TL09_C_30,28.5,29,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,15,1,3,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,4,3,1,0,0,0,0,5,0,0,0,0,1,0,0
TL09_22_02,0,1,3,4,0,7,0,21,1,0,1,0,2,3,1,0,0,5,2,0,0,4,0,19,0,0,0,1,0,0,0,1,4,0,15,6,0,0,1,5,0,2,0,0,1,17,11,2,0,0,0,0,0,7,0
TL09_22_02,51,52,3,0,0,0,1,7,1,0,0,0,0,0,0,0,0,0,2,2,0,8,1,2,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,2,0,0,0,1,2,5,1,0,0,2,0,0,1,0
TL09_22_02,55.5,56,1,0,0,8,3,20,5,0,4,0,2,5,0,0,2,6,0,0,0,2,3,4,0,1,0,0,0,0,0,0,9,0,9,2,0,0,1,0,3,0,0,2,0,14,25,1,0,1,0,0,0,1,0
TL09_22_02,56,56.5,2,4,0,7,12,32,7,0,3,0,7,18,3,0,9,10,5,0,0,9,4,3,0,1,0,0,0,0,0,1,32,0,22,11,0,0,2,3,4,0,0,0,0,37,39,3,1,1,0,0,0,2,0
TL09_22_01,0,1,2,3,0,8,0,13,3,0,2,0,5,5,2,0,0,3,4,0,0,18,2,29,0,0,0,0,0,0,0,3,19,0,5,6,0,0,0,7,3,3,0,0,0,19,9,4,0,1,0,1,0,1,0
TL09_22_01,21.5,22.5,3,0,3,2,2,6,2,0,0,0,3,2,0,0,0,2,13,1,0,10,1,21,0,0,2,0,0,0,0,0,8,0,12,1,0,0,0,0,4,5,1,1,1,10,35,1,0,1,2,0,0,2,0
TL09_22_01,34.5,35,2,1,2,0,1,5,0,0,2,0,1,3,0,0,0,0,10,8,0,7,1,6,0,0,0,0,0,0,1,3,14,0,4,3,0,0,0,1,3,2,0,0,3,6,15,0,0,1,6,1,0,3,0
TL09_22_01,35,35.5,3,2,1,0,1,1,3,0,0,1,1,3,1,0,0,0,3,9,0,13,4,3,1,0,5,2,0,0,0,2,7,0,7,7,0,0,0,3,2,1,0,1,1,15,19,0,0,0,1,0,0,6,0
