"depth_avg_mm" "BestAD" "MinAD" "MaxAD" "SAR_mm.yr" "SAR_err_mm.yr"
0 NA NA NA 1.84834947329911 0.28322554789926
5 2019.29488943529 2018.88038101419 2019.70939785639 1.84834947329911 0.28322554789926
10 2016.58977346034 2015.76075578913 2017.41879113156 1.84834947329911 0.28322554789926
15 2013.8846574854 2012.64113056406 2015.12818440674 1.84834947329911 0.28322554789926
20 2011.17954151046 2009.521505339 2012.83757768191 1.84834947329911 0.28322554789926
25 2008.47442553551 2006.40188011394 2010.54697095709 1.84834947329911 0.28322554789926
30 2005.76930956057 2003.28225488888 2008.25636423226 1.84834947329911 0.28322554789926
35 2003.06419358563 2000.16262966381 2005.96575750744 1.84834947329911 0.28322554789926
40 2000.35907761068 1997.04300443875 2003.67515078261 1.84834947329911 0.28322554789926
45 1997.65396163574 1993.92337921369 2001.38454405779 1.84834947329911 0.28322554789926
50 1994.9488456608 1990.80375398863 1999.09393733296 1.84834947329911 0.28322554789926
55 1992.24372968585 1987.68412876357 1996.80333060814 1.84834947329911 0.28322554789926
60 1989.53861371091 1984.5645035385 1994.51272388331 1.84834947329911 0.28322554789926
65 1986.83349773597 1981.44487831344 1992.22211715849 1.84834947329911 0.28322554789926
70 1984.12838176102 1978.32525308838 1989.93151043366 1.84834947329911 0.28322554789926
75 1981.42326578608 1975.20562786332 1987.64090370884 1.84834947329911 0.28322554789926
80 1978.71814981113 1972.08600263825 1985.35029698401 1.84834947329911 0.28322554789926
85 1976.01303383619 1968.96637741319 1983.05969025919 1.84834947329911 0.28322554789926
90 1973.30791786125 1965.84675218813 1980.76908353436 1.84834947329911 0.28322554789926
95 1970.6028018863 1962.72712696307 1978.47847680954 1.84834947329911 0.28322554789926
100 1967.89768591136 1959.60750173801 1976.18787008471 1.84834947329911 0.28322554789926
105 1965.19256993642 1956.48787651294 1973.89726335989 1.84834947329911 0.28322554789926
110 1962.48745396147 1953.36825128788 1971.60665663506 1.84834947329911 0.28322554789926
115 1959.78233798653 1950.24862606282 1969.31604991024 1.84834947329911 0.28322554789926
120 1957.07722201159 1947.12900083776 1967.02544318541 1.84834947329911 0.28322554789926
125 1954.37210603664 1944.00937561269 1964.73483646059 1.84834947329911 0.28322554789926
130 1951.6669900617 1940.88975038763 1962.44422973577 1.84834947329911 0.28322554789926
135 1948.96187408675 1937.77012516257 1960.15362301094 1.84834947329911 0.28322554789926
140 1946.25675811181 1934.65049993751 1957.86301628611 1.84834947329911 0.28322554789926
145 1943.55164213687 1931.53087471244 1955.57240956129 1.84834947329911 0.28322554789926
150 1940.84652616192 1928.41124948738 1953.28180283647 1.84834947329911 0.28322554789926
155 1938.14141018698 1925.29162426232 1950.99119611164 1.84834947329911 0.28322554789926
160 1935.43629421204 1922.17199903726 1948.70058938682 1.84834947329911 0.28322554789926
165 1935.43628339157 1922.17198655876 1948.70058022439 1.84834947329911 0.28322554789926
170 1935.43628339157 1922.17198655876 1948.70058022439 1.84834947329911 0.28322554789926
175 1935.43628339157 1922.17198655876 1948.70058022439 1.84834947329911 0.28322554789926
180 1935.43628339157 1922.17198655876 1948.70058022439 1.84834947329911 0.28322554789926
185 1935.43628339157 1922.17198655876 1948.70058022439 1.84834947329911 0.28322554789926
190 1935.43628339157 1922.17198655876 1948.70058022439 1.84834947329911 0.28322554789926
195 1935.43628339157 1922.17198655876 1948.70058022439 1.84834947329911 0.28322554789926
200 1935.43628339157 1922.17198655876 1948.70058022439 1.84834947329911 0.28322554789926
205 1932.73118374877 1919.05238016843 1946.4099873291 1.84834947329911 0.28322554789926
210 1930.02606787526 1915.93275506036 1944.11938069017 1.84834947329911 0.28322554789926
215 1927.32095200176 1912.81312995228 1941.82877405125 1.84834947329911 0.28322554789926
220 1924.61583612826 1909.6935048442 1939.53816741232 1.84834947329911 0.28322554789926
225 1921.91072025476 1906.57387973613 1937.24756077339 1.84834947329911 0.28322554789926
230 1919.20560438126 1903.45425462805 1934.95695413447 1.84834947329911 0.28322554789926
235 1916.50048850776 1900.33462951997 1932.66634749554 1.84834947329911 0.28322554789926
240 1913.79537263425 1897.2150044119 1930.37574085661 1.84834947329911 0.28322554789926
245 1911.09025676075 1894.09537930382 1928.08513421768 1.84834947329911 0.28322554789926
250 1908.38514088725 1890.97575419574 1925.79452757876 1.84834947329911 0.28322554789926
255 1905.68002501375 1887.85612908767 1923.50392093983 1.84834947329911 0.28322554789926
260 1902.97490914025 1884.73650397959 1921.2133143009 1.84834947329911 0.28322554789926
265 1900.26979326674 1881.61687887152 1918.92270766197 1.84834947329911 0.28322554789926
270 1897.56467739324 1878.49725376344 1916.63210102305 1.84834947329911 0.28322554789926
275 1894.85956151974 1875.37762865536 1914.34149438412 1.84834947329911 0.28322554789926
280 1892.15444564624 1872.25800354729 1912.05088774519 1.84834947329911 0.28322554789926
285 1889.44932977274 1869.13837843921 1909.76028110627 1.84834947329911 0.28322554789926
290 1886.74421389924 1866.01875333113 1907.46967446734 1.84834947329911 0.28322554789926
295 1884.03909802573 1862.89912822306 1905.17906782841 1.84834947329911 0.28322554789926
300 1881.33398215223 1859.77950311498 1902.88846118948 1.84834947329911 0.28322554789926
305 1881.33396051131 1859.77947815798 1902.88844286463 1.84834947329911 0.28322554789926
310 1881.33396051131 1859.77947815798 1902.88844286463 1.84834947329911 0.28322554789926
315 1881.33396051131 1859.77947815798 1902.88844286463 1.84834947329911 0.28322554789926
320 1881.33396051131 1859.77947815798 1902.88844286463 1.84834947329911 0.28322554789926
325 1881.33396051131 1859.77947815798 1902.88844286463 1.84834947329911 0.28322554789926
330 1881.33396051131 1859.77947815798 1902.88844286463 1.84834947329911 0.28322554789926
335 1881.33396051131 1859.77947815798 1902.88844286463 1.84834947329911 0.28322554789926
340 1881.33396051131 1859.77947815798 1902.88844286463 1.84834947329911 0.28322554789926
345 1881.33396051131 1859.77947815798 1902.88844286463 1.84834947329911 0.28322554789926
350 1881.33396051131 1859.77947815798 1902.88844286463 1.84834947329911 0.28322554789926
355 1881.33396051131 1859.77947815798 1902.88844286463 1.84834947329911 0.28322554789926
360 1881.33396051131 1859.77947815798 1902.88844286463 1.84834947329911 0.28322554789926
365 1881.33396051131 1859.77947815798 1902.88844286463 1.84834947329911 0.28322554789926
370 1881.33396051131 1859.77947815798 1902.88844286463 1.84834947329911 0.28322554789926
375 1881.33396051131 1859.77947815798 1902.88844286463 1.84834947329911 0.28322554789926
380 1881.33396051131 1859.77947815798 1902.88844286463 1.84834947329911 0.28322554789926
385 1881.33396051131 1859.77947815798 1902.88844286463 1.84834947329911 0.28322554789926
390 1881.33396051131 1859.77947815798 1902.88844286463 1.84834947329911 0.28322554789926
395 1881.33396051131 1859.77947815798 1902.88844286463 1.84834947329911 0.28322554789926
400 1881.33396051131 1859.77947815798 1902.88844286463 1.84834947329911 0.28322554789926
405 1881.33396051131 1859.77947815798 1902.88844286463 1.84834947329911 0.28322554789926
410 1881.33396051131 1859.77947815798 1902.88844286463 1.84834947329911 0.28322554789926
415 1881.33396051131 1859.77947815798 1902.88844286463 1.84834947329911 0.28322554789926
420 1881.33396051131 1859.77947815798 1902.88844286463 1.84834947329911 0.28322554789926
425 1881.33396051131 1859.77947815798 1902.88844286463 1.84834947329911 0.28322554789926
430 1881.33396051131 1859.77947815798 1902.88844286463 1.84834947329911 0.28322554789926
435 1881.33396051131 1859.77947815798 1902.88844286463 1.84834947329911 0.28322554789926
440 1881.33396051131 1859.77947815798 1902.88844286463 1.84834947329911 0.28322554789926
445 1881.33396051131 1859.77947815798 1902.88844286463 1.84834947329911 0.28322554789926
450 1881.33396051131 1859.77947815798 1902.88844286463 1.84834947329911 0.28322554789926
455 1881.33396051131 1859.77947815798 1902.88844286463 1.84834947329911 0.28322554789926
460 1881.33396051131 1859.77947815798 1902.88844286463 1.84834947329911 0.28322554789926
465 1878.62887195947 1856.65988455811 1900.59785936083 1.84834947329911 0.28322554789926
470 1875.92375635648 1853.540259762 1898.30725295096 1.84834947329911 0.28322554789926
475 1873.21864075349 1850.42063496589 1896.0166465411 1.84834947329911 0.28322554789926
480 1870.5135251505 1847.30101016977 1893.72604013123 1.84834947329911 0.28322554789926
485 1867.80840954751 1844.18138537366 1891.43543372136 1.84834947329911 0.28322554789926
490 1865.10329394452 1841.06176057754 1889.1448273115 1.84834947329911 0.28322554789926
495 1862.39817834153 1837.94213578143 1886.85422090163 1.84834947329911 0.28322554789926
500 1859.69306273854 1834.82251098532 1884.56361449176 1.84834947329911 0.28322554789926
505 1856.98794713555 1831.7028861892 1882.2730080819 1.84834947329911 0.28322554789926
510 1854.28283153256 1828.58326139309 1879.98240167203 1.84834947329911 0.28322554789926
