"depth_top_mm" "BestAD_CRS" "MinAD_CRS" "MaxAD_CRS" "SAR_CRS_mm.yr" "SAR_CRS_err_mm.yr"
185 1944.61273065618 1931.80565975918 1957.41980155318 0.907831041851599 0.883204852641163
190 1944.61273065618 1931.80565975918 1957.41980155318 1.08939725022192 1.0598458231694
195 1944.61273065618 1931.80565975918 1957.41980155318 1.27096345859224 1.23648679369763
200 1944.61273065618 1931.80565975918 1957.41980155318 1.45252966696256 1.41312776422586
205 1943.98343979117 1930.94162689427 1957.02525268808 1.71800207992356 1.73196895370552
210 1943.35414892617 1930.07759402936 1956.63070382297 1.98347449288455 2.05081014318519
215 1942.72485806116 1929.21356116446 1956.23615495786 2.24894690584555 2.36965133266485
220 1942.09556719616 1928.34952829955 1955.84160609276 2.51441931880655 2.68849252214451
225 1941.46627633115 1927.48549543465 1955.44705722765 3.40578444112571 4.39162280137613
230 1940.83698546614 1926.62146256974 1955.05250836255 4.29714956344487 6.09475308060775
235 1940.20769460114 1925.75742970483 1954.65795949744 5.18851468576403 7.79788335983938
240 1939.57840373613 1924.89339683993 1954.26341063234 6.07987980808319 9.501013639071
245 1937.64174722401 1922.2478031744 1953.03569127362 5.30698168464397 7.99915755677358
250 1935.70509071189 1919.60220950887 1951.80797191491 4.53408356120475 6.49730147447616
255 1933.76843419977 1916.95661584334 1950.5802525562 3.76118543776553 4.99544539217873
260 1931.83177768765 1914.31102217781 1949.35253319748 2.98828731432631 3.49358930988131
265 1929.5475231925 1910.99846601259 1948.09658037241 6.1067885633131 60.0471451156655
270 1927.26326869735 1907.68590984737 1946.84062754734 9.2252898122999 116.60070092145
275 1924.97901420221 1904.37335368215 1945.58467472226 12.3437910612867 173.154256727234
280 1922.69475970706 1901.06079751693 1944.32872189719 15.4622923102735 229.707812533018
285 1921.82722599981 1899.68754143666 1943.96691056296 11.5967192327051 172.280859399764
290 1920.95969229256 1898.31428535639 1943.60509922873 7.73114615513674 114.853906266509
295 1920.09215858531 1896.94102927613 1943.2432878945 3.86557307756837 57.4269531332546
300 1919.22462487806 1895.56777319586 1942.88147656027 0 0
305 1919.22462487806 1895.56777319586 1942.88147656027 0.016499076208187 0.017493447138291
310 1919.22462487806 1895.56777319586 1942.88147656027 0.0329981524163741 0.0349868942765819
315 1919.22462487806 1895.56777319586 1942.88147656027 0.0494972286245611 0.0524803414148729
320 1919.22462487806 1895.56777319586 1942.88147656027 0.0659963048327482 0.0699737885531638
325 1919.22462487806 1895.56777319586 1942.88147656027 0.0824953810409352 0.0874672356914548
330 1919.22462487806 1895.56777319586 1942.88147656027 0.0989944572491222 0.104960682829746
335 1919.22462487806 1895.56777319586 1942.88147656027 0.115493533457309 0.122454129968037
340 1919.22462487806 1895.56777319586 1942.88147656027 0.131992609665496 0.139947577106328
345 1919.22462487806 1895.56777319586 1942.88147656027 0.148491685873683 0.157441024244619
350 1919.22462487806 1895.56777319586 1942.88147656027 0.16499076208187 0.17493447138291
355 1919.22462487806 1895.56777319586 1942.88147656027 0.181489838290057 0.192427918521201
360 1919.22462487806 1895.56777319586 1942.88147656027 0.197988914498244 0.209921365659491
365 1919.22462487806 1895.56777319586 1942.88147656027 0.214487990706431 0.227414812797782
370 1919.22462487806 1895.56777319586 1942.88147656027 0.230987066914619 0.244908259936073
375 1919.22462487806 1895.56777319586 1942.88147656027 0.247486143122806 0.262401707074364
380 1919.22462487806 1895.56777319586 1942.88147656027 0.263985219330993 0.279895154212655
385 1919.22462487806 1895.56777319586 1942.88147656027 0.28048429553918 0.297388601350946
